caso,sintomas,esperada,pipeline_pred,pipeline_conf,pipeline_tiempo,pipeline_correcto,pickle_pred,pickle_conf,pickle_tiempo,pickle_correcto
1,"Paciente presenta dolor de pecho intenso, sudoraci...",CARDIOLOGÍA/CIRCULATORIO,CARDIOLOGÍA/CIRCULATORIO,58.35368732670837,0.009528398513793945,True,CARDIOLOGÍA/CIRCULATORIO,76.8061163488883,0.013220548629760742,True
2,"Tengo dolor de cabeza muy fuerte, mareos y visión ...",NEUROLOGÍA,NEUROLOGÍA,41.722189861859036,0.010108232498168945,True,NEUROLOGÍA,69.88694755127425,0.014795303344726562,True
3,"Fractura de brazo por caída, dolor intenso e hinch...",TRAUMATOLOGÍA/MUSCULAR,TRAUMATOLOGÍA/MUSCULAR,69.21392595903757,0.009531259536743164,True,TRAUMATOLOGÍA/MUSCULAR,72.79955030874027,0.01310586929321289,True
4,Dolor abdominal agudo con vómitos y fiebre...,GASTROENTEROLOGÍA/DIGESTIVO,SÍNTOMAS GENERALES/NO CLASIFICADOS,43.91351663183875,0.008939981460571289,False,SÍNTOMAS GENERALES/NO CLASIFICADOS,47.871753310167925,0.015170812606811523,False
5,Dolor en las rodillas al caminar y rigidez articul...,TRAUMATOLOGÍA/MUSCULAR,TRAUMATOLOGÍA/MUSCULAR,74.2597015815546,0.00800013542175293,True,TRAUMATOLOGÍA/MUSCULAR,71.5948735797393,0.01328730583190918,True
6,"Tos persistente, fiebre y fatiga hace dos semanas...",CARDIOLOGÍA/CIRCULATORIO,CARDIOLOGÍA/CIRCULATORIO,45.48971564483579,0.008031368255615234,True,SÍNTOMAS GENERALES/NO CLASIFICADOS,39.53946214765064,0.015067815780639648,False
7,"Confusión mental, problemas para hablar y debilida...",NEUROLOGÍA,NEUROLOGÍA,42.29336484976341,0.007721662521362305,True,NEUROLOGÍA,42.22829199986039,0.010624408721923828,True
8,Sangrado vaginal anormal y dolor pélvico...,GINECOLOGÍA/OBSTETRICIA,GINECOLOGÍA/OBSTETRICIA,98.21609050192464,0.007130861282348633,True,GINECOLOGÍA/OBSTETRICIA,98.5417450787419,0.010170221328735352,True
9,Dolor al orinar con sangre en la orina...,UROLOGÍA/RENAL,UROLOGÍA/RENAL,62.20981069202083,0.005964517593383789,True,UROLOGÍA/RENAL,79.6334494451886,0.015483379364013672,True
10,Lesión en la piel que ha crecido y cambiado de col...,ONCOLOGÍA (TUMORES),TRAUMATOLOGÍA/MUSCULAR,34.63319333986481,0.0061762332916259766,False,NEUROLOGÍA,22.046846031313628,0.011267900466918945,False
11,"Ansiedad severa, pensamientos intrusivos y problem...",PSIQUIATRÍA/MENTAL,NEUROLOGÍA,24.731263404127564,0.00454258918762207,False,PSIQUIATRÍA/MENTAL,40.39165308252594,0.014604330062866211,True
12,Dificultad para ver de un ojo y dolor ocular...,OFTALMOLOGÍA/ORL,OFTALMOLOGÍA/ORL,78.67637980681174,0.0056400299072265625,True,OFTALMOLOGÍA/ORL,99.06811572204863,0.015587329864501953,True
13,Dolor de espalda crónico que irradia a las piernas...,TRAUMATOLOGÍA/MUSCULAR,TRAUMATOLOGÍA/MUSCULAR,70.66372502956301,0.004161834716796875,True,TRAUMATOLOGÍA/MUSCULAR,86.7263781321343,0.013881683349609375,True
14,"Náuseas, vómitos y heces con sangre...",GASTROENTEROLOGÍA/DIGESTIVO,GASTROENTEROLOGÍA/DIGESTIVO,23.300535884682468,0.005103349685668945,True,UROLOGÍA/RENAL,39.43949811215427,0.01352834701538086,False
15,Tumor palpable en el cuello y pérdida de peso...,ONCOLOGÍA (TUMORES),CONSULTA GENERAL/OTROS,29.602749787703942,0.006127119064331055,False,NEUROLOGÍA,25.65496097127572,0.012669086456298828,False
